Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
25.23321,1,Right,0.9462059,2.644728,1.084317,-0.3000823,0.4812404,0.4365841,0.6983929
25.24429,1,Right,0.9460253,2.644995,1.084333,-0.3004677,0.480999,0.4369339,0.6981747
25.25519,1,Right,0.9451702,2.64427,1.083976,-0.304716,0.47393,0.4363329,0.7015356
25.26651,1,Right,0.9446489,2.643331,1.083409,-0.3084305,0.4706444,0.435165,0.7028485
25.27782,1,Right,0.9457051,2.641786,1.084277,-0.3115831,0.4674933,0.4289332,0.7073771
25.28827,1,Right,0.9488491,2.637271,1.085143,-0.306321,0.4680844,0.4181574,0.7156877
25.30004,1,Right,0.9493858,2.633966,1.085467,-0.3050939,0.4676743,0.4124986,0.7197523
25.31079,1,Right,0.9515962,2.626191,1.08718,-0.2948347,0.4721045,0.3984441,0.728994
25.32211,1,Right,0.9524405,2.619582,1.088988,-0.2885224,0.4716826,0.3919211,0.7353014
25.33301,1,Right,0.9539769,2.611989,1.091039,-0.2801456,0.4712868,0.3860955,0.7418474
25.34424,1,Right,0.9546853,2.604036,1.093581,-0.269193,0.46884,0.3851152,0.7479374
25.35524,1,Right,0.9557021,2.595808,1.095844,-0.2588587,0.4658685,0.3836955,0.7541462
25.3665,1,Right,0.9569373,2.587253,1.097294,-0.2463969,0.4596895,0.3827971,0.7625225
25.37737,1,Right,0.9590922,2.577668,1.098477,-0.2361548,0.4558093,0.3756536,0.7715913
25.38845,1,Right,0.960278,2.56803,1.099159,-0.2280501,0.4530575,0.3679129,0.7793409
25.39969,1,Right,0.9631589,2.558306,1.100722,-0.2193707,0.4529289,0.3506118,0.7898121
25.4109,1,Right,0.9650323,2.547955,1.100949,-0.206197,0.4550685,0.3367851,0.7981048
25.42208,1,Right,0.9675456,2.538311,1.102111,-0.1947989,0.4561052,0.3270158,0.8044142
25.43329,1,Right,0.9696018,2.529477,1.103627,-0.1853993,0.4572773,0.3217127,0.8080999
25.44441,1,Right,0.9702291,2.52017,1.104327,-0.1761561,0.4566136,0.3153546,0.8130341
25.4553,1,Right,0.972118,2.51296,1.105846,-0.1691547,0.4543014,0.3176446,0.8149225
25.46665,1,Right,0.974139,2.506836,1.106008,-0.1628349,0.4526323,0.318929,0.8166352
25.47739,1,Right,0.9761714,2.500962,1.105285,-0.1573309,0.4530903,0.3161168,0.8185514
25.48908,1,Right,0.9774802,2.495827,1.104956,-0.1529781,0.454401,0.3115788,0.8203878
25.49953,1,Right,0.9781728,2.490211,1.105243,-0.1496128,0.4554893,0.3060969,0.822466
25.5113,1,Right,0.9781988,2.48766,1.106001,-0.1498984,0.4545923,0.3026169,0.8241962
25.5222,1,Right,0.9786953,2.484056,1.105956,-0.1493617,0.4529752,0.2986794,0.8266167
25.53298,1,Right,0.9806107,2.48183,1.106041,-0.150218,0.4518285,0.2958936,0.8280897
25.54436,1,Right,0.9813216,2.480129,1.1053,-0.1503891,0.4519745,0.2934098,0.8288624
25.55509,1,Right,0.9820007,2.478729,1.104575,-0.1500883,0.4523004,0.2909306,0.8296127
25.5665,1,Right,0.982955,2.47893,1.103638,-0.1522413,0.4542723,0.2918907,0.8278038
25.5774,1,Right,0.9835147,2.479161,1.102186,-0.1542404,0.4564702,0.2927503,0.8259189
25.58837,1,Right,0.9839657,2.479662,1.101204,-0.1552456,0.4581203,0.2929249,0.8247543
25.59972,1,Right,0.9847819,2.479548,1.100036,-0.157964,0.4616057,0.2962905,0.8210844
25.61099,1,Right,0.9848971,2.481262,1.09879,-0.15912,0.4634936,0.297083,0.8195097
25.62205,1,Right,0.9852259,2.480176,1.097643,-0.1610643,0.4670431,0.3016694,0.8154291
25.63326,1,Right,0.9840707,2.481411,1.097744,-0.161888,0.4670316,0.3044036,0.8142556
25.64469,1,Right,0.9850869,2.480869,1.09567,-0.1627973,0.4695072,0.2998477,0.8143411
