Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
4.965762,1,Right,1.057208,2.153665,-0.4017905,-0.4935643,0.4196394,0.4744245,0.596002
4.977078,1,Right,1.055434,2.156134,-0.4010441,-0.4952725,0.41852,0.4766414,0.5935984
4.988638,1,Right,1.055866,2.155924,-0.3989021,-0.4986096,0.4151145,0.4659431,0.6016357
4.999642,1,Right,1.055835,2.15733,-0.3978098,-0.5013682,0.4135539,0.461266,0.6040173
5.010332,1,Right,1.057397,2.158035,-0.3945232,-0.5013385,0.4122343,0.4486825,0.6143342
5.021707,1,Right,1.057154,2.156179,-0.3920839,-0.5001777,0.4096243,0.4439191,0.6204563
5.032705,1,Right,1.057309,2.155708,-0.3903051,-0.5013005,0.407768,0.4399572,0.623587
5.04411,1,Right,1.058636,2.152604,-0.3865011,-0.4930776,0.4048659,0.4455947,0.6280155
5.054881,1,Right,1.059935,2.150063,-0.3837657,-0.4865266,0.4055578,0.4513184,0.6285909
5.065515,1,Right,1.06156,2.147307,-0.3831311,-0.4803747,0.4084478,0.4547542,0.6289747
5.077405,1,Right,1.063064,2.143948,-0.3814029,-0.4749466,0.4108411,0.4572822,0.629705
5.088455,1,Right,1.06506,2.139708,-0.3804538,-0.4678357,0.4186544,0.4555981,0.6311012
5.099799,1,Right,1.067557,2.134961,-0.3783109,-0.4631446,0.4210655,0.4528467,0.6349258
5.110437,1,Right,1.070155,2.128556,-0.3755369,-0.458971,0.4226151,0.4416136,0.6447631
5.121725,1,Right,1.07319,2.121858,-0.3729132,-0.4537124,0.4238727,0.4311746,0.6546491
5.132757,1,Right,1.075485,2.114685,-0.36977,-0.4472593,0.4232925,0.4236991,0.6642752
5.143516,1,Right,1.077681,2.107512,-0.3668673,-0.4412838,0.422699,0.4179785,0.6722263
5.154688,1,Right,1.080145,2.100919,-0.3645935,-0.4348568,0.4221826,0.415145,0.6784659
5.166319,1,Right,1.082864,2.093009,-0.3623331,-0.4285792,0.4225086,0.4118642,0.6842327
5.176985,1,Right,1.086504,2.087411,-0.3604532,-0.4195304,0.4260438,0.4147619,0.6858962
5.188228,1,Right,1.089327,2.080242,-0.358652,-0.410318,0.4296193,0.4128972,0.6903494
5.199621,1,Right,1.092011,2.073267,-0.357067,-0.4014221,0.4328573,0.408825,0.6959575
5.210735,1,Right,1.09367,2.066589,-0.3553433,-0.3944764,0.4344256,0.4028402,0.7024119
5.222185,1,Right,1.095093,2.059237,-0.3527422,-0.3894957,0.4328545,0.3959451,0.7100405
5.232817,1,Right,1.095175,2.056382,-0.3518932,-0.3905317,0.4291313,0.3912785,0.7143056
5.243697,1,Right,1.096153,2.051772,-0.3510199,-0.3910474,0.4266519,0.3862931,0.7182114
5.255584,1,Right,1.097834,2.047604,-0.3506293,-0.392107,0.42525,0.3816533,0.7209405
5.26616,1,Right,1.099081,2.043664,-0.3503892,-0.390671,0.4248511,0.3778477,0.7239537
5.277376,1,Right,1.101444,2.040263,-0.3511665,-0.3865428,0.4293947,0.3801869,0.7222623
5.288065,1,Right,1.102082,2.037728,-0.3517302,-0.3823169,0.432463,0.3813328,0.7220768
